ID_ORDER,DTE_ORDER,ID_CUSTOMER,ID_PART,QTY_ORDERED,AMT_TOTAL,REF_PAYMENT_METHOD,DTE_DELIVERY_EST,DES_ORDER_NOTE
ORD0001,2024-06-27,C0013,P0062,-5,1222.6,CARD,2025-07-21,Area see ground occur.
ORD0002,2025-02-28,C0067,P0223,-5,1450.93,CRYPTO,,Third lose capital top class new north.
ORD0003,BAD_DATE,C0325,P0092,-5,1068.05,TRANSFER,,Serve ball current hit social off.
ORD0004,2024-10-29,C0184,INVALID,-5,378.74,CASH,2025-06-28,Face future sell team help.
ORD0005,2024-08-06,C0335,P0239,null,ERROR,CRYPTO,2025-06-29,
ORD0006,BAD_DATE,C0153,P0178,X,203.78,CARD,2025-07-22,
ORD0007,2024-07-07,C0431,P0110,null,1439.3,TRANSFER,2025-07-13,Newspaper leg artist half organization officer learn.
ORD0008,2025-03-02,C0400,P0098,-5,979.52,CARD,2025-07-14,Kid worry risk begin water.
ORD0009,BAD_DATE,C0194,P0092,-5,1245.81,CARD,,
ORD0010,2024-11-17,C0338,P0006,null,ERROR,CRYPTO,2025-06-30,Adult subject key throughout soldier baby inside.
ORD0011,2024-12-10,,P0185,null,673.38,CARD,2025-07-05,Herself experience point look.
ORD0012,BAD_DATE,,P0003,null,ERROR,CRYPTO,2025-07-15,Help herself voice own.
ORD0013,2024-11-16,C0012,P0169,null,491.04,CARD,2025-07-07,Born crime field different computer table sell.
ORD0014,2025-02-07,C0297,INVALID,-5,990.98,CASH,2025-06-27,
ORD0015,2025-03-04,C0057,P0130,-5,667.9,,2025-07-01,Exist staff amount last.
ORD0016,2024-11-13,C0306,P0007,null,954.4,,,Pull range wrong safe thousand action reason.
ORD0017,2025-01-05,C0073,P0018,X,533.0,,2025-07-02,
ORD0018,2024-12-18,C0459,P0246,20,1287.88,CRYPTO,,Government together control course amount.
ORD0019,2025-04-05,C0040,P0130,4,737.42,CASH,2025-07-03,
ORD0020,BAD_DATE,C0186,P0030,3,658.99,CRYPTO,2025-07-14,Account blood level something.
ORD0021,2025-03-16,C0107,P0016,1,652.77,TRANSFER,2025-07-23,Member whether of appear fire.
ORD0022,2025-04-08,C0252,P0242,11,1173.18,CASH,2025-07-09,Buy job event including four rate long.
ORD0023,2025-03-17,C0212,P0233,X,1123.74,CRYPTO,,Husband rate like professor recent black relate blue.
ORD0024,2024-08-12,,P0243,null,309.74,CASH,2025-07-23,Now we hand action.
ORD0025,2024-10-20,C0040,P0280,X,,CARD,2025-07-11,Material shake list natural.
ORD0026,2024-07-21,C0215,P0020,X,,,2025-07-14,Central box service personal actually environmental already traditional.
ORD0027,2024-07-21,C0161,P0079,X,1154.74,,2025-07-02,Piece partner military field time woman between.
ORD0028,2025-01-25,C0231,P0091,-5,1145.14,TRANSFER,2025-07-06,
ORD0029,2024-07-09,C0093,P0068,X,,TRANSFER,2025-07-13,
